Codigo;Anyo;Trimestre;Coste
2000Q1;2000;1;8.52
2000Q2;2000;2;9.3
2000Q3;2000;3;10.04
2000Q4;2000;4;10.28
2001Q1;2001;1;8.77
2001Q2;2001;2;9.59
2001Q3;2001;3;10.45
2001Q4;2001;4;10.75
2002Q1;2002;1;9.47
2002Q2;2002;2;9.75
2002Q3;2002;3;10.81
2002Q4;2002;4;11.11
2003Q1;2003;1;9.81
2003Q2;2003;2;10.54
2003Q3;2003;3;11.16
2003Q4;2003;4;11.47
2004Q1;2004;1;10.3
2004Q2;2004;2;10.84
2004Q3;2004;3;11.38
2004Q4;2004;4;12.11
2005Q1;2005;1;10.82
2005Q2;2005;2;11.01
2005Q3;2005;3;11.73
2005Q4;2005;4;12.46
2006Q1;2006;1;10.93
2006Q2;2006;2;12.04
2006Q3;2006;3;12.37
2006Q4;2006;4;13.3
2007Q1;2007;1;11.44
2007Q2;2007;2;12.54
2007Q3;2007;3;12.98
2007Q4;2007;4;13.89
2008Q1;2008;1;12.5
2008Q2;2008;2;12.79
2008Q3;2008;3;13.76
2008Q4;2008;4;14.27
2009Q1;2009;1;12.8
2009Q2;2009;2;14.04
2009Q3;2009;3;14.3
2009Q4;2009;4;15.02
2010Q1;2010;1;13.17
2010Q2;2010;2;14.24
2010Q3;2010;3;14.17
2010Q4;2010;4;15.22
2011Q1;2011;1;13.19
2011Q2;2011;2;14.42
2011Q3;2011;3;14.81
2011Q4;2011;4;15.56
2012Q1;2012;1;13.39
2012Q2;2012;2;14.57
2012Q3;2012;3;14.85
2012Q4;2012;4;15.14
2013Q1;2013;1;13.63
2013Q2;2013;2;14.19
2013Q3;2013;3;14.86
2013Q4;2013;4;15.48
2014Q1;2014;1;13.39
2014Q2;2014;2;14.71
2014Q3;2014;3;14.9
2014Q4;2014;4;15.35
2015Q1;2015;1;13.67
2015Q2;2015;2;14.77
2015Q3;2015;3;14.87
2015Q4;2015;4;15.67
